,KO,difference.deter.stocha,cat
523,K23775,-14.83389524,Others
524,K02618,-14.82684197,Others
525,K11175,-14.82275106,Others
526,K00161,-14.79707712,Carbon
527,K00912,-14.77803326,Others
528,K02493,-14.77464769,Others
529,K02665,-14.7598358,Others
530,K15736,-14.75518064,Others
531,K03589,-14.73740636,Others
532,K07322,-14.73444399,Others
533,K15727,-14.72118382,Others
534,K09158,-14.71793932,Others
535,K15255,-14.71370735,Others
536,K01719,-14.70750046,Cofactor & Vitamin
537,K07042,-14.70016504,Others
538,K03438,-14.66715569,Others
539,K00850,-14.66560397,Carbon
540,K00347,-14.65290807,Others
541,K02520,-14.64218709,Others
542,K00873,-14.63188929,Others
543,K16363,-14.61369183,Others
544,K00950,-14.59224985,Cofactor & Vitamin
545,K07678,-14.59154452,Others
546,K03536,-14.590416,Others
547,K02909,-14.57856649,Others
548,K09861,-14.56897403,Others
549,K03631,-14.54936591,Others
550,K02450,-14.54104304,Others
551,K01776,-14.52877033,Others
552,K04758,-14.52129385,Others
553,K00790,-14.49463245,Others
554,K00928,-14.49096475,Others
555,K02610,-14.49025942,Others
556,K03046,-14.47488326,Others
557,K01925,-14.4489272,Others
558,K21147,-14.43834727,Others
559,K07483,-14.4349617,Others
560,K18707,-14.36513422,Others
561,K01142,-14.36132546,Others
562,K01267,-14.33565151,Others
563,K12281,-14.30306536,Others
564,K00700,-14.28895879,Carbon
565,K01467,-14.28331617,Others
566,K00919,-14.28303404,Others
567,K00658,-14.27753248,Others
568,K11355,-14.26582404,Others
569,K03322,-14.25496198,Others
570,K01934,-14.25482092,Others
571,K01640,-14.25397452,Others
572,K01270,-14.21546361,Others
573,K03596,-14.21038525,Others
574,K02523,-14.19768934,Others
575,K23997,-14.18541664,Others
576,K07390,-14.15212516,Others
577,K04079,-14.1285672,Others
578,K19158,-14.12207818,Others
579,K02237,-14.11671769,Others
580,K08303,-14.09993087,Others
581,K02197,-14.08328513,Others
582,K02990,-14.07792465,Others
583,K02458,-14.05549521,Others
584,K01886,-14.0432225,Others
585,K15773,-14.04279931,Others
586,K07302,-14.03532283,Others
587,K00154,-13.99906897,Others
588,K06190,-13.99243888,Others
589,K06885,-13.98721945,Others
590,K04066,-13.98693732,Others
591,K00266,-13.98200003,Others
592,K07566,-13.96902199,Others
593,K18831,-13.95801887,Others
594,K19611,-13.95703141,Others
595,K00099,-13.9464515,Others
596,K04754,-13.94616937,Others
597,K18890,-13.94377125,Others
598,K03292,-13.94250166,Others
599,K06177,-13.9189437,Others
600,K00616,-13.91174936,Carbon
601,K00248,-13.89665533,Carbon
602,K07112,-13.89200017,Others
603,K07133,-13.87972746,Others
604,K07007,-13.87789361,Others
605,K01902,-13.86209426,Carbon
606,K15256,-13.80468055,Others
607,K02356,-13.79932006,Others
608,K03588,-13.74557406,Others
609,K00453,-13.73739226,Carbon
610,K00091,-13.73118537,Others
611,K13638,-13.71764308,Others
612,K02563,-13.7097434,Others
613,K00338,-13.70522931,ATP
614,K09796,-13.68745503,Others
615,K15973,-13.67885003,Others
616,K00800,-13.66516667,Carbon
617,K01134,-13.64118552,Others
618,K02887,-13.62820748,Others
619,K01790,-13.62171846,Others
620,K01358,-13.6117028,Others
621,K00566,-13.60606018,Others
622,K06181,-13.58518247,Others
623,K06180,-13.57587213,Others
